"pathway","cancer","method","n_enrich_pw","n_core_miR","n_CMC","n_CMC_core","prop_inter_core","prop_inter_CMC","n_core_gene","n_oncoKB","n_oncoKB_core","prop_oncoKB_inter_core","prop_inter_oncoKB","n_COSMIC","n_COSMIC_core","prop_COSMIC_inter_core","prop_inter_COSMIC","sqrt_CMC","sqrt_oncoKB","sqrt_COSMIC","F1_CMC","F1_oncoKB","F1_COSMIC"
"hallmark","CESC","Edge_Score",9,619,139,127,0.205169628432956,0.913669064748201,935,271,156,0.166844919786096,0.575645756457565,159,97,0.103743315508021,0.610062893081761,0.432963211514645,0.309908970604868,0.251574933561986,0.33509234828496,0.258706467661692,0.177330895795247
"hallmark","CESC","Edge_Network",5,89,139,34,0.382022471910112,0.244604316546763,3636,218,213,0.0585808580858086,0.977064220183486,132,131,0.036028602860286,0.992424242424242,0.305686678883915,0.239243099008707,0.189091667979378,0.298245614035088,0.110534509600415,0.0695329087048832
"hallmark","COAD","TG_Score",2,418,139,103,0.246411483253589,0.741007194244604,268,194,51,0.190298507462687,0.262886597938144,117,32,0.119402985074627,0.273504273504274,0.427308649380507,0.223667000738983,0.180713106019119,0.36983842010772,0.220779220779221,0.166233766233766
"hallmark","COAD","Edge_ORA",1,78,138,22,0.282051282051282,0.159420289855072,23,68,6,0.260869565217391,0.0882352941176471,49,4,0.173913043478261,0.0816326530612245,0.212048808387621,0.151716521227252,0.1191510937469,0.203703703703704,0.131868131868132,0.111111111111111
"hallmark","COAD","Edge_Score",3,541,139,121,0.22365988909427,0.870503597122302,496,180,128,0.258064516129032,0.711111111111111,117,84,0.169354838709677,0.717948717948718,0.44124453309762,0.428383642081333,0.348694836970703,0.355882352941176,0.378698224852071,0.274061990212072
"hallmark","COAD","Edge_Network",1,78,138,22,0.282051282051282,0.159420289855072,539,68,67,0.12430426716141,0.985294117647059,49,48,0.0890538033395176,0.979591836734694,0.212048808387621,0.349966088689413,0.295358051831279,0.203703703703704,0.220757825370675,0.163265306122449
"hallmark","ESCA","TG_Score",1,157,139,41,0.261146496815287,0.294964028776978,125,153,38,0.304,0.248366013071895,95,23,0.184,0.242105263157895,0.277540668734568,0.274778579903631,0.211062475160917,0.277027027027027,0.273381294964029,0.209090909090909
"hallmark","ESCA","Edge_ORA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hallmark","ESCA","Edge_Score",1,341,135,95,0.278592375366569,0.703703703703704,140,82,55,0.392857142857143,0.670731707317073,56,38,0.271428571428571,0.678571428571429,0.442771370313243,0.513324207650758,0.429166253879994,0.399159663865546,0.495495495495495,0.387755102040816
"hallmark","ESCA","Edge_Network",3,103,139,32,0.310679611650485,0.23021582733813,3517,211,208,0.0591413136195621,0.985781990521327,129,127,0.0361103212965596,0.984496124031008,0.267438523465123,0.241454844353842,0.188548326309138,0.264462809917355,0.111587982832618,0.0696653867251783
"hallmark","KICH","TG_Score",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
