"method","cancer","median_rank","min_rank","max_rank","mean_rank"
"Edge_ORA","PAAD",0.40952380952381,0.161904761904762,0.933333333333333,0.478571428571429
"Edge_ORA","PRAD",0.452542372881356,0.00338983050847458,0.96271186440678,0.459830508474576
"Edge_ORA","READ",0.692607003891051,0.120622568093385,0.914396887159533,0.59073222497347
"Edge_ORA","STAD",0.386649874055416,0.00503778337531486,0.98992443324937,0.42191435768262
"Edge_ORA","THCA",0.321533923303835,0.0117994100294985,0.946902654867257,0.418598117713162
"Edge_ORA","UCEC",0.448849104859335,0.253196930946292,0.654731457800512,0.451406649616368
"Edge_Score","BLCA",0.311428571428571,0.0019047619047619,0.946666666666667,0.353809523809524
"Edge_Score","BRCA",0.528571428571429,0.0019047619047619,0.891428571428571,0.504823348694316
"Edge_Score","CESC",0.387619047619048,0.0895238095238095,0.956190476190476,0.455238095238095
"Edge_Score","COAD",0.361904761904762,0.0019047619047619,0.95047619047619,0.394408602150538
"Edge_Score","ESCA",0.445714285714286,0.0742857142857143,0.925714285714286,0.545333333333333
"Edge_Score","KIRC",0.64,0.417142857142857,0.742857142857143,0.606031746031746
"Edge_Score","KIRP",0.527619047619048,0.457142857142857,0.794285714285714,0.593015873015873
"Edge_Score","LIHC",0.374285714285714,0.0019047619047619,0.956190476190476,0.394460317460317
"Edge_Score","LUAD",0.391428571428571,0.0019047619047619,0.859047619047619,0.442202380952381
"Edge_Score","LUSC",0.491428571428571,0.0019047619047619,0.881904761904762,0.495873015873016
"Edge_Score","PAAD",0.46,0.0019047619047619,0.984761904761905,0.467705627705628
"Edge_Score","PRAD",0.607619047619048,0.0019047619047619,0.876190476190476,0.535189255189255
"Edge_Score","READ",0.619047619047619,0.140952380952381,0.916190476190476,0.57624649859944
"Edge_Score","STAD",0.586666666666667,0.0019047619047619,0.853333333333333,0.527936507936508
"Edge_Score","THCA",0.384761904761905,0.0019047619047619,0.954285714285714,0.426285714285714
"Edge_Score","UCEC",0.36952380952381,0.100952380952381,0.817142857142857,0.426349206349206
"Edge_2Ddist","BLCA",0.230476190476191,0.0342857142857143,0.944761904761905,0.369404761904762
"Edge_2Ddist","BRCA",0.531428571428571,0.0019047619047619,0.992380952380952,0.527301587301587
"Edge_2Ddist","CESC",0.610476190476191,0.0666666666666667,0.819047619047619,0.526666666666667
"Edge_2Ddist","COAD",0.407619047619048,0.0323809523809524,0.937142857142857,0.431213517665131
"Edge_2Ddist","ESCA",0.68952380952381,0.0761904761904762,0.939047619047619,0.621523809523809
"Edge_2Ddist","KIRC",0.70952380952381,0.0457142857142857,0.88,0.606666666666667
"Edge_2Ddist","KIRP",0.516190476190476,0.180952380952381,0.750476190476191,0.482539682539683
"Edge_2Ddist","LIHC",0.381904761904762,0.0019047619047619,0.935238095238095,0.434460317460317
"Edge_2Ddist","LUAD",0.68952380952381,0.00761904761904762,0.965714285714286,0.59202380952381
"Edge_2Ddist","LUSC",0.44,0.00761904761904762,0.992380952380952,0.487907647907648
"Edge_2Ddist","PAAD",0.578095238095238,0.0114285714285714,0.88,0.53047619047619
"Edge_2Ddist","PRAD",0.64,0.0342857142857143,0.994285714285714,0.57035409035409
"Edge_2Ddist","READ",0.704761904761905,0.15047619047619,0.933333333333333,0.636638655462185
"Edge_2Ddist","STAD",0.523809523809524,0.0019047619047619,0.986666666666667,0.510634920634921
"Edge_2Ddist","THCA",0.383809523809524,0.0152380952380952,1,0.437333333333333
"Edge_2Ddist","UCEC",0.263809523809524,0.100952380952381,0.843809523809524,0.404126984126984
"Edge_Topology","BLCA",0.443074003795066,0.0208728652751423,0.960151802656547,0.490393738140417
"Edge_Topology","BRCA",0.529411764705882,0.00379506641366224,0.960151802656547,0.528177347942299
"Edge_Topology","CESC",0.489563567362429,0.108159392789374,0.840607210626186,0.481973434535104
"Edge_Topology","COAD",0.351043643263757,0.00759013282732448,0.876660341555977,0.386545877456081
"Edge_Topology","ESCA",0.685009487666034,0.269449715370019,0.960151802656547,0.672485768500949
"Edge_Topology","KIRC",0.362428842504744,0.172675521821632,0.960151802656547,0.485768500948767
"Edge_Topology","KIRP",0.42314990512334,0.0455407969639469,0.960151802656547,0.476280834914611
"Edge_Topology","LIHC",0.444022770398482,0.00189753320683112,0.960151802656547,0.463186287578214
"Edge_Topology","LUAD",0.426944971537002,0.015180265654649,0.960151802656547,0.460755563222356
"Edge_Topology","LUSC",0.565464895635674,0.00759013282732448,0.960151802656547,0.541857350150686
"Edge_Topology","PAAD",0.325426944971537,0.0113851992409867,0.954459203036053,0.358806279109884
"Edge_Topology","PRAD",0.590132827324478,0.0436432637571157,0.960151802656547,0.554566243370797
"Edge_Topology","READ",0.502846299810247,0.00379506641366224,0.941176470588235,0.501506864605425
"Edge_Topology","STAD",0.599620493358634,0.0132827324478178,0.924098671726755,0.564674256799494
"Edge_Topology","THCA",0.334914611005693,0.00189753320683112,0.960151802656547,0.393674889310563
"Edge_Topology","UCEC",0.524667931688805,0.263757115749526,0.960151802656547,0.561986084756483
"Edge_Network","BLCA",0.373814041745731,0.0132827324478178,0.990512333965844,0.461456356736243
"Edge_Network","BRCA",0.454459203036053,0.00189753320683112,0.994307400379507,0.480667605231479
"Edge_Network","CESC",0.315939278937381,0.10246679316888,0.527514231499051,0.315464895635674
"Edge_Network","COAD",0.354838709677419,0.0113851992409867,0.958254269449715,0.42339474811777
"Edge_Network","ESCA",0.605313092979127,0.113851992409867,0.954459203036053,0.580075901328273
"Edge_Network","KIRC",0.669829222011385,0.275142314990512,0.933586337760911,0.630297280202403
"Edge_Network","KIRP",0.69449715370019,0.320683111954459,0.984819734345351,0.666666666666667
"Edge_Network","LIHC",0.400379506641366,0.00189753320683112,0.986717267552182,0.449778098389449
"Edge_Network","LUAD",0.35673624288425,0.00759013282732448,0.998102466793169,0.460985567247427
"Edge_Network","LUSC",0.528462998102467,0.0664136622390892,0.994307400379507,0.528797856903672
"Edge_Network","PAAD",0.415076335877863,0.0209923664122137,0.82824427480916,0.439972241498959
"Edge_Network","PRAD",0.555977229601518,0.00189753320683112,0.988614800759013,0.490633970709872
"Edge_Network","READ",0.462998102466793,0.0721062618595825,0.724857685009488,0.463221341667597
"Edge_Network","STAD",0.394686907020873,0.00189753320683112,0.960151802656547,0.383459835547122
"Edge_Network","THCA",0.425996204933586,0.0132827324478178,0.98292220113852,0.421884882985452
"Edge_Network","UCEC",0.435483870967742,0.206831119544592,0.912713472485769,0.500948766603416
