pathway,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,p_value,padj,qvalue,geneID,Count,rank,cancer,method,relative_rank
LI_LUNG_CANCER,LI_LUNG_CANCER,8/3186,41/14741,0.195121951219512,0.902791174804404,-0.327284628308092,0.687693137061353,0.999997065654815,0.947969443339877,CDC25B/CDC42/EEF1G/HP/KIF11/RAC1/HAP1/CALR,8,324,LUAD,TG_ORA,0.6195028680688337
TOMIDA_LUNG_CANCER_POOR_SURVIVAL,TOMIDA_LUNG_CANCER_POOR_SURVIVAL,1/3186,5/14741,0.2,0.925360954174514,-0.0876491940727807,0.704107630167688,0.999997065654815,0.947969443339877,TYMS,1,333,LUAD,TG_ORA,0.6367112810707457
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM,13/3186,67/14741,0.194029850746269,0.897738239124528,-0.440517395922055,0.715719699935206,0.999997065654815,0.947969443339877,ACTC1/ALDOA/C2/CLU/EEF2/IGFBP4/SERPINC1/TPM3/VCAM1/VCP/TNXB/A2M/FN1,13,346,LUAD,TG_ORA,0.6615678776290631
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,64/3186,317/14741,0.201892744479495,0.934118313362285,-0.622641603452893,0.753333347112924,0.999997065654815,0.947969443339877,ADORA3/ARHGAP17/BASP1/C21orf91/CACNA1A/CAMKMT/CD38/CDC42EP2/CSNK2A1/CYTIP/DIP2C/DLG4/ELF5/FKBP11/GJA3/GRWD1/HES2/IRF4/MAP2K7/MAST1/MAVS/NOS1/NXPH3/OGFRL1/OXCT1/PAK3/PAX5/PCYT1B/PDK1/PTGDR2/PTPN2/RAB26/RHOH/RHOQ/SH3BP2/SH3D21/SKAP1/SLC12A3/SLC1A1/SLC22A2/SLC38A7/SLC43A1/SOD2/TFAP2A/TPP1/TXNDC5/VCPIP1/ZBP1/ZBTB25/ZC3H13/PRMT2/VPS13D/DTX3/KAT6B/THEMIS2/FFAR2/ZFYVE9/PROZ/ZNF473/THRA/TENT5C/DIPK1A/ARHGAP45/DCAF1,64,357,LUAD,TG_ORA,0.6826003824091779
CHEN_LUNG_CANCER_SURVIVAL,CHEN_LUNG_CANCER_SURVIVAL,5/3186,28/14741,0.178571428571429,0.826215137655816,-0.483311350938026,0.754800629045224,0.999997065654815,0.947969443339877,CALU/GRK4/SOD2/EPHX1/ATP5F1D,5,358,LUAD,TG_ORA,0.6845124282982792
HP_NON_SMALL_CELL_LUNG_CARCINOMA,HP_NON_SMALL_CELL_LUNG_CARCINOMA,4/3186,23/14741,0.173913043478261,0.804661699282186,-0.492281569662449,0.764854274358847,0.999997065654815,0.947969443339877,CDKN2A/EGFR/PPP2R1B/TERT,4,363,LUAD,TG_ORA,0.6940726577437859
HATADA_METHYLATED_IN_LUNG_CANCER_DN,HATADA_METHYLATED_IN_LUNG_CANCER_DN,6/3186,35/14741,0.17142857142857101,0.793166532149583,-0.643271347440509,0.798881162126247,0.999997065654815,0.947969443339877,BEST2/FAM222B/IGFLR1/MELK/NLRP11/SCUBE1,6,384,LUAD,TG_ORA,0.734225621414914
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN,STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN,11/3186,63/14741,0.174603174603175,0.807854801263464,-0.802514748505225,0.829989991772837,0.999997065654815,0.947969443339877,ATG7/AXIN2/BASP1/CFL1/CTSS/PTGDR2/SMAP2/SND1/SOCS3/ADAM15/TLE5,11,402,LUAD,TG_ORA,0.768642447418738
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE,13/3186,76/14741,0.171052631578947,0.791427131859781,-0.957216615050448,0.865213341249283,0.999997065654815,0.947969443339877,ALDOA/C2/CDC25B/CHAF1A/CLU/CYTIP/IGFBP4/TALDO1/TIMP2/VCAM1/NPC2/FN1/TUT1,13,419,LUAD,TG_ORA,0.8011472275334608
YANAGISAWA_LUNG_CANCER_RECURRENCE,YANAGISAWA_LUNG_CANCER_RECURRENCE,1/3186,9/14741,0.111111111111111,0.514089418985841,-0.765655503256519,0.888340811980856,0.999997065654815,0.947969443339877,H2AC8,1,429,LUAD,TG_ORA,0.8202676864244742
DING_LUNG_CANCER_MUTATED_FREQUENTLY,DING_LUNG_CANCER_MUTATED_FREQUENTLY,1/3186,12/14741,0.0833333333333333,0.385567064239381,-1.11806005550227,0.946249861541428,0.999997065654815,0.947969443339877,STK11,1,468,LUAD,TG_ORA,0.8948374760994264
NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS,NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS,1/3186,13/14741,0.0769230769230769,0.35590805929789,-1.21992829938768,0.957876444549712,0.999997065654815,0.947969443339877,MUC4,1,473,LUAD,TG_ORA,0.904397705544933
SPIRA_SMOKERS_LUNG_CANCER_UP,SPIRA_SMOKERS_LUNG_CANCER_UP,4/3186,39/14741,0.102564102564103,0.474544079063853,-1.72530959273881,0.980623784042473,0.999997065654815,0.947969443339877,ARL6IP5/PLA2G4A/PPBP/SLC39A8,4,491,LUAD,TG_ORA,0.9388145315487572
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,19/3186,131/14741,0.145038167938931,0.671063287378464,-1.98568127413592,0.985184866136306,0.999997065654815,0.947969443339877,ALDOA/C2/CHAF1A/CLU/CYTIP/EEF2/MTAP/PSMA1/QSOX1/SERPINC1/TIMP2/UBA52/VCAM1/VCP/YWHAQ/TNXB/NPC2/FN1/CALR,19,499,LUAD,TG_ORA,0.9541108986615678
