pathway,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,p_value,padj,qvalue,geneID,Count,rank,cancer,method,relative_rank
LIU_PROSTATE_CANCER_UP,LIU_PROSTATE_CANCER_UP,26/566,1357/248612,0.0191599115696389,8.41587267694535,13.0852468262189,3.65361002692063e-16,1.07781495794159e-13,8.1917782708852e-14,hsa-miR-106a-5p:BEND4/hsa-miR-106a-5p:SOX4/hsa-miR-133b:SOX4/hsa-miR-137-3p:ENTPD5/hsa-miR-146b-5p:SOX4/hsa-miR-17-5p:BEND4/hsa-miR-187-3p:SOX4/hsa-miR-19a-3p:BEND4/hsa-miR-19a-3p:SOX4/hsa-miR-19b-3p:BEND4/hsa-miR-19b-3p:SOX4/hsa-miR-204-5p:ENTPD5/hsa-miR-204-5p:SOX4/hsa-miR-205-3p:SOX4/hsa-miR-20a-5p:BEND4/hsa-miR-20b-5p:BEND4/hsa-miR-20b-5p:SOX4/hsa-miR-32-3p:AMACR/hsa-miR-378c:SOX4/hsa-miR-381-3p:SOX4/hsa-miR-425-5p:BEND4/hsa-miR-4326:SOX4/hsa-miR-500a-3p:SOX4/hsa-miR-508-3p:GMDS/hsa-miR-514a-3p:SOX4/hsa-miR-93-5p:BEND4,26,1,PRAD,Edge_ORA,0.003389830508474576
LIU_PROSTATE_CANCER_DN,LIU_PROSTATE_CANCER_DN,68/566,10580/248612,0.00642722117202268,2.82311715551043,9.15465559873736,2.91466057716244e-14,4.2991243513145896e-12,3.26748791018736e-12,hsa-miR-106a-5p:GJC1/hsa-miR-106a-5p:ITGA1/hsa-miR-106a-5p:STARD4/hsa-miR-106a-5p:ZBTB47/hsa-miR-1291:DST/hsa-miR-141-3p:RBPMS/hsa-miR-148a-3p:EPB41L3/hsa-miR-148a-3p:GNAL/hsa-miR-148a-3p:PRRT2/hsa-miR-148a-3p:SLC47A1/hsa-miR-148a-3p:TUBB6/hsa-miR-153-3p:PCDH7/hsa-miR-153-5p:AKAP12/hsa-miR-153-5p:EPB41L3/hsa-miR-153-5p:KSR1/hsa-miR-17-5p:GJC1/hsa-miR-17-5p:GNAL/hsa-miR-17-5p:ITGA1/hsa-miR-17-5p:STARD4/hsa-miR-17-5p:ZBTB47/hsa-miR-182-5p:JAZF1/hsa-miR-182-5p:TPM2/hsa-miR-183-5p:GPM6B/hsa-miR-19a-3p:IL33/hsa-miR-19b-3p:IL33/hsa-miR-20a-5p:GJC1/hsa-miR-20a-5p:GNAL/hsa-miR-20a-5p:ITGA1/hsa-miR-20a-5p:STARD4/hsa-miR-20a-5p:ZBTB47/hsa-miR-20b-5p:GJC1/hsa-miR-20b-5p:STARD4/hsa-miR-20b-5p:ZBTB47/hsa-miR-3074-5p:ADAMTS5/hsa-miR-3074-5p:C1QTNF1/hsa-miR-3170:TPM2/hsa-miR-32-3p:ITGA1/hsa-miR-32-3p:PCDH7/hsa-miR-3651:CYP3A5/hsa-miR-3651:STARD4/hsa-miR-375-3p:STARD4/hsa-miR-423-5p:SH3PXD2B/hsa-miR-423-5p:ZBTB47/hsa-miR-425-5p:PCDH7/hsa-miR-4449:SLC47A1/hsa-miR-4668-3p:CAV2/hsa-miR-4668-3p:CYP3A5/hsa-miR-4668-3p:STARD4/hsa-miR-5683:STARD4/hsa-miR-5694:WNT2B/hsa-miR-5706:AOPEP/hsa-miR-5706:DENND2B/hsa-miR-7-1-3p:AKAP12/hsa-miR-7-1-3p:MXRA7/hsa-miR-7-1-3p:PCDH7/hsa-miR-7-1-3p:STARD4/hsa-miR-92a-1-5p:DENND2B/hsa-miR-92a-3p:PCDH7/hsa-miR-93-3p:GNAL/hsa-miR-93-3p:SLC47A1/hsa-miR-93-3p:TNS4/hsa-miR-93-3p:TUBB6/hsa-miR-93-5p:GJC1/hsa-miR-93-5p:GNAL/hsa-miR-93-5p:ITGA1/hsa-miR-93-5p:STARD4/hsa-miR-93-5p:ZBTB47/hsa-miR-96-5p:GPM6B,68,2,PRAD,Edge_ORA,0.006779661016949152
TOMLINS_PROSTATE_CANCER_UP,TOMLINS_PROSTATE_CANCER_UP,22/566,1713/248612,0.0128429655575015,5.64119320350098,9.20769521954236,1.5007541756743502e-10,1.10680620455983e-8,8.41212208996413e-9,hsa-miR-106a-5p:SOX4/hsa-miR-133b:SOX4/hsa-miR-146b-5p:PAICS/hsa-miR-146b-5p:SOX4/hsa-miR-187-3p:EEF2/hsa-miR-187-3p:SOX4/hsa-miR-19a-3p:SOX4/hsa-miR-19b-3p:SOX4/hsa-miR-204-5p:SOX4/hsa-miR-205-3p:SOX4/hsa-miR-20b-5p:SOX4/hsa-miR-32-3p:AMACR/hsa-miR-378c:SOX4/hsa-miR-381-3p:SOX4/hsa-miR-4326:EEF2/hsa-miR-4326:SOX4/hsa-miR-500a-3p:SOX4/hsa-miR-514a-3p:BICD1/hsa-miR-514a-3p:SOX4/hsa-miR-7-5p:RAB11A/hsa-miR-944:BICD1/hsa-miR-944:RAB11A,22,4,PRAD,Edge_ORA,0.013559322033898305
WALLACE_PROSTATE_CANCER_DN,WALLACE_PROSTATE_CANCER_DN,5/566,62/248612,0.0806451612903226,35.4228884076143,12.9490689032657,3.49332433904921e-7,4.68423036372507e-6,3.56018222113627e-6,hsa-miR-153-5p:AKAP12/hsa-miR-183-5p:GPM6B/hsa-miR-4668-3p:CAV2/hsa-miR-7-1-3p:AKAP12/hsa-miR-96-5p:GPM6B,5,22,PRAD,Edge_ORA,0.07457627118644068
WALLACE_PROSTATE_CANCER_UP,WALLACE_PROSTATE_CANCER_UP,16/566,1486/248612,0.0107671601615074,4.72940851956304,6.88798853064667,4.94282171094701e-7,6.339706107519e-6,4.81840285781105e-6,hsa-miR-106a-5p:SOX4/hsa-miR-133b:SOX4/hsa-miR-146b-5p:SOX4/hsa-miR-153-5p:PRSS8/hsa-miR-187-3p:SOX4/hsa-miR-19a-3p:SOX4/hsa-miR-19b-3p:SOX4/hsa-miR-204-5p:SOX4/hsa-miR-205-3p:SOX4/hsa-miR-20b-5p:SOX4/hsa-miR-32-3p:AMACR/hsa-miR-378c:SOX4/hsa-miR-381-3p:SOX4/hsa-miR-4326:SOX4/hsa-miR-500a-3p:SOX4/hsa-miR-514a-3p:SOX4,16,23,PRAD,Edge_ORA,0.07796610169491526
TOMLINS_PROSTATE_CANCER_DN,TOMLINS_PROSTATE_CANCER_DN,8/566,1017/248612,0.00786627335299902,3.45521192727172,3.74783789757906,0.00259143048393732,0.014050388313834,0.0106787964704608,hsa-miR-1291:DST/hsa-miR-141-3p:RBPMS/hsa-miR-153-5p:AKAP12/hsa-miR-182-5p:TPM2/hsa-miR-3170:TPM2/hsa-miR-5706:DENND2B/hsa-miR-7-1-3p:AKAP12/hsa-miR-92a-1-5p:DENND2B,8,54,PRAD,Edge_ORA,0.18305084745762712
YAMASHITA_METHYLATED_IN_PROSTATE_CANCER,YAMASHITA_METHYLATED_IN_PROSTATE_CANCER,3/566,249/248612,0.0120481927710843,5.29209417173996,3.23688849486117,0.0197562241634167,0.0869863601225062,0.066112737577498,hsa-miR-1275:IFITM1/hsa-miR-19b-3p:EBF1/hsa-miR-4668-3p:EBF1,3,67,PRAD,Edge_ORA,0.2271186440677966
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_DN,SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_DN,4/566,738/248612,0.00542005420054201,2.38072529135185,1.79441233203583,0.0897330953366092,0.297429922744941,0.226057354307484,hsa-miR-3074-5p:CSDC2/hsa-miR-375-3p:FOXF2/hsa-miR-9-5p:FOXF2/hsa-miR-96-5p:FOXF2,4,89,PRAD,Edge_ORA,0.3016949152542373
KONDO_PROSTATE_CANCER_WITH_H3K27ME3,KONDO_PROSTATE_CANCER_WITH_H3K27ME3,5/566,1047/248612,0.00477554918815664,2.0976304501166,1.70014959582164,0.0931761393648335,0.302054517721164,0.229572211506183,hsa-miR-1258:TRIM36/hsa-miR-183-5p:GPM6B/hsa-miR-708-5p:TRIM36/hsa-miR-96-5p:GPM6B/hsa-miR-96-5p:PHACTR1,5,91,PRAD,Edge_ORA,0.30847457627118646
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_UP,SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_UP,1/566,59/248612,0.0169491525423729,7.44481044499012,2.36498789050468,0.125838899249307,0.388817395454899,0.295515094493822,hsa-miR-675-3p:ACER3,1,95,PRAD,Edge_ORA,0.3220338983050847
