pathway,Description,setSize,enrichmentScore,NES,p_value,padj,qvalue,rank,leading_edge,core_enrichment,cancer,method,relative_rank
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER,DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER,27,0.300610046444605,1.06199692969969,0.341772151898734,0.732568997717369,0.635477987352694,244,"tags=48%, list=28%, signal=35%",EIF3H/SEC23IP/E2F3/METTL4/NAPG/TXNL1/KPNA4/ASH2L/PAK2/C19orf12/ANKRD46/BRMS1L/PPP4R2,LUAD,TG_Score,0.4665391969407266
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE,13,-0.406130279883459,-1.08135052029638,0.363148479427549,0.739014220780577,0.641068992968559,257,"tags=46%, list=28%, signal=34%",CYTIP/CDC25B/C2/TIMP2/TUT1/ALDOA,LUAD,TG_Score,0.491395793499044
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN,STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN,11,-0.413168163922129,-1.03630768603228,0.422303473491773,0.772254253972718,0.669903559348378,286,"tags=55%, list=18%, signal=45%",SMAP2/SOCS3/PTGDR2/AXIN2/TLE5/ATG7,LUAD,TG_Score,0.5468451242829828
TOMIDA_LUNG_CANCER_POOR_SURVIVAL,TOMIDA_LUNG_CANCER_POOR_SURVIVAL,1,-0.79369414101291,-1.04893803223525,0.43614931237721,0.782517622024205,0.67880667221985,290,"tags=100%, list=21%, signal=79%",NA,LUAD,TG_Score,0.5544933078393881
DING_LUNG_CANCER_MUTATED_FREQUENTLY,DING_LUNG_CANCER_MUTATED_FREQUENTLY,1,-0.747517378351539,-0.98791129654687,0.540275049115914,0.871822349229029,0.756275400055774,323,"tags=100%, list=25%, signal=75%",NA,LUAD,TG_Score,0.6175908221797323
LI_LUNG_CANCER,LI_LUNG_CANCER,8,0.377310958158201,0.90814341256799,0.591463414634146,0.901010228964119,0.781594865016676,343,"tags=50%, list=16%, signal=42%",KIF11/CALR/RAC1/CDC42,LUAD,TG_Score,0.655831739961759
HATADA_METHYLATED_IN_LUNG_CANCER_DN,HATADA_METHYLATED_IN_LUNG_CANCER_DN,6,-0.415661371271665,-0.89128684271442,0.589178356713427,0.901010228964119,0.781594865016676,340,"tags=33%, list=5%, signal=32%",SCUBE1/IGFLR1,LUAD,TG_Score,0.6500956022944551
NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS,NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS,1,0.681231380337637,0.913950862332753,0.612576064908722,0.916107867332812,0.794691538332378,349,"tags=100%, list=32%, signal=68%",MUC4,LUAD,TG_Score,0.6673040152963671
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4,44,-0.233377688598242,-0.832623005400586,0.74313408723748,0.937354934112009,0.813122625746757,410,"tags=25%, list=21%, signal=20%",SLC39A8/LIMCH1/NEDD9/RBPMS/QKI/PER1/ADCY7/CAVIN2/AK1/CFAP410/ICAM4,LUAD,TG_Score,0.7839388145315488
DING_LUNG_CANCER_BY_MUTATION_RATE,DING_LUNG_CANCER_BY_MUTATION_RATE,5,-0.378590207272709,-0.76331431714241,0.757085020242915,0.937354934112009,0.813122625746757,420,"tags=40%, list=14%, signal=35%",PTPRD/PDGFRA,LUAD,TG_Score,0.8030592734225621
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,64,-0.198916947228584,-0.780738539060731,0.828746177370031,0.956808500583942,0.829997914363851,453,"tags=34%, list=29%, signal=25%",VPS13D/SH3D21/SLC1A1/PCYT1B/NOS1/CYTIP/DTX3/SOD2/ZBTB25/FFAR2/MAP2K7/ARHGAP45/THEMIS2/ARHGAP17/PTGDR2/RHOQ/NXPH3/THRA/SH3BP2/DLG4/CDC42EP2/TXNDC5,LUAD,TG_Score,0.8661567877629063
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP,STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP,31,0.211171021591223,0.770795131745445,0.86340206185567,0.96513209013209,0.837218337218337,467,"tags=23%, list=17%, signal=19%",TMCO1/RRP1B/ELOC/DNAJC10/ZNF131/TM7SF3/C5orf34,LUAD,TG_Score,0.892925430210325
SPIRA_SMOKERS_LUNG_CANCER_UP,SPIRA_SMOKERS_LUNG_CANCER_UP,4,0.368252135720369,0.695820969198869,0.863636363636364,0.96513209013209,0.837218337218337,468,"tags=50%, list=24%, signal=38%",PLA2G4A/ARL6IP5,LUAD,TG_Score,0.8948374760994264
DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY,DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY,8,0.235050395267049,0.565738851384679,0.947154471544715,0.994444952560665,0.862646220295153,498,"tags=50%, list=32%, signal=34%",CDKN2A/GNAS/EGFR/PAK3,LUAD,TG_Score,0.9521988527724665
