"cancer","seed","sd","range","IQR","MAD","pathway","method","n_enrich","n_pathway","time","positive_rate"
"STAD",4567,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",0,12,2.30099999999999,0
"STAD",4567,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",1,12,32.982,0.0833333333333333
"STAD",5678,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.47499999999999,0
"STAD",5678,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",2,12,1.988,0.166666666666667
"STAD",5678,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",1,12,85.844,0.0833333333333333
"STAD",6789,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",1,12,1.566,0.0833333333333333
"STAD",6789,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",1,12,2.05800000000002,0.0833333333333333
"STAD",6789,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,28.869,0
"STAD",7890,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.483,0
"STAD",7890,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",0,12,2.04000000000002,0
"STAD",7890,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,47.116,0
"STAD",8901,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.46300000000002,0
"STAD",8901,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",0,12,1.94800000000001,0
"STAD",8901,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,45.739,0
"STAD",9012,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.59399999999999,0
"STAD",9012,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",0,12,2.18599999999998,0
"STAD",9012,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,66.565,0
"STAD",123,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.506,0
"STAD",123,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",0,12,2.176,0
"STAD",123,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,50.877,0
"STAD",234,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.52600000000001,0
"STAD",234,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",1,12,2.059,0.0833333333333333
"STAD",234,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",1,12,120.937,0.0833333333333333
"STAD",345,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",2,12,1.47400000000002,0.166666666666667
